id,skill_id,school_id,name,description
1,6,1,Bind (Buckler),"A Bind is only usable against an opponent’s fencing weapon. It locks your sword (or buckler, or panzerhand) and his sword together. To use this attack, you declare that you are attempting to Bind your opponent’s weapon, and then roll to attack using this Knack. If successful, you have momentarily bound his sword. While the two of you are in the Bind, neither of you can use your bound item."
2,5,1,Disarm (Fencing),"You can only use this Knack after an opponent has just missed your Passive Defense. Spend an Action Die to make a Contested Roll of your Brawn + Disarm versus his Brawn + Attack (in the weapon he is wielding). If you win, the weapon is knocked out of his hand. If you perform this move with two Raises, you can wind up holding the weapon if you choose."
3,5,1,Riposte (Fencing),"A riposte is a parry followed up immediately with a counterattack. You first attempt an Active Defense against the incoming Attack, and then, if the Active Defense is successful, make an Attack of your own on the person who just attacked you. When performing a Riposte, you receive one-half the dice from your Parry Knack (rounded down) for your Active Defense and one-half the dice from your Attack Knack (rounded down) for your counterattack. For every Rank in Riposte, you may add one die to either the Active Defense attempt or the counterattack. These dice are added after you’ve halved the appropriate Knacks."
4,,1,Exploit Weakness (Donovan),"Once you have attended a School, you have not only learned its strengths, but its weaknesses as well. Whenever you duel against someone who is using a School whose weakness you are familiar with, even if you aren’t currently using that style of fighting yourself, you gain a number of unkept dice (+1k0 each) equal to your Rank in your Exploit Weakness Knack to all your Attack and Active Defense rolls. A Swordsman who attends more than one School obviously knows more than one weakness..."
19,5,1,Parry (Fencing),Parrying is the act of putting your sword between yourself and your enemies’ strikes. This Knack can be used as your Defense Knack while you are wielding a sword.
18,5,1,Attack (Fencing),Attack is simply the ability to hit your enemy
17,6,1,Parry (Buckler),Parrying is the act of putting your buckler between yourself and your enemies’ strikes. This Knack can be used as your Defense Knack while you are wearing a buckler.
23,3,2,Oratory (Courtier),Sweet words of praise flow as easily from your lips as whispered words of poison. Oratory allows you to persuade your listeners more easily of any argument.
22,3,2,Fashion  (Courtier),"When appearing before nobility, it is an affront to their gentle senses to be ill-attired. The conscientious courtier keeps careful tabs on the latest trends in fashion, no matter how ridiculous. With enough knowledge, you can quickly throw together a presentable outfit, even if the materials at hand are less than satisfactory."
21,3,2,Etiquette (Courtier),"While it might be acceptable to throw the bones of your meal upon the floor in some regions, it is certain that other nobility would faint upon seeing some ruffian throw a greasy bone on their new rug. You have learned the niceties of events sponsored by the nobility and can avoid such social faux pas. When you are using this Knack in a place whose customs you are unfamiliar with, you are at a penalty of –2 unkept dice."
